FCS_ANNOTATION_ID	COMPENSATION_FLAG	EXPERIMENT_ACCESSION	EXPSAMPLE_ACCESSION	FILE_INFO_ID	MAXIMUM_INTENSITY	MINIMUM_INTENSITY	NUMBER_OF_EVENTS	NUMBER_OF_MARKERS	PANEL	WORKSPACE_ID
20754	N	EXP3727	ES89237	66142	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
20781	N	EXP3727	ES89246	66196	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
22565	N	EXP3727	ES89265	68628	1023	0	20000	6	FSC|SSC|FITC CD4|PE CCR3|PP CD8|APC CCR4	990
22569	N	EXP3727	ES89270	68636	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
20897	N	EXP3727	ES89277	66428	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
22616	N	EXP3727	ES89284	68730	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
22611	N	EXP3727	ES89285	68720	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
22618	N	EXP3727	ES89289	68734	1023	0	20000	6	FSC|SSC|AUTO1|AUTO2|AUTO3|AUTO4	990
20810	N	EXP3727	ES89297	66254	1023	0	20000	6	FSC|SSC|FITC CD56|PE CXCR3|PP CD3|APC CCR5	990
20818	N	EXP3727	ES89302	66270	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD161	990
22558	N	EXP3727	ES89327	68614	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
22555	N	EXP3727	ES89332	68608	1023	0	20000	6	FSC|SSC|FITC CD4|PE CXCR3|PP CD8|APC CCR5	990
22597	N	EXP3727	ES89336	68692	1023	0	20000	6	FSC|SSC|FITC CD14|PE CD23|PP CD3|APC CD19	990
22596	N	EXP3727	ES89340	68690	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RO	990
22491	N	EXP3727	ES89357	68480	1023	0	20000	6	FSC|SSC|FITC CD4|PE CD25|PP CD3|APC CD45RA	990
