FCS_HEADER_ID	PARAMETER_NUMBER	PNN_REPORTED	PNS_REPORTED	PNN_PREFERRED	PNN_PREFERRED_TERM_ID	PNS_PREFERRED	PNS_PREFERRED_TERM_ID
110159	6	FL4-H	APC CD161				
84595	1	FSC-H	FSC				
84595	2	SSC-H	SSC				
84595	3	FL1-H	FITC CD4				
84595	4	FL2-H	PE CD25				
84595	5	FL3-H	PP CD3				
84595	6	FL4-H	APC CD45RA				
93671	1	FSC-H	FSC				
93671	2	SSC-H	SSC				
93671	3	FL1-H	FITC CD4				
93671	4	FL2-H	PE CD25				
93671	5	FL3-H	PP CD3				
93671	6	FL4-H	APC CD45RO				
127655	1	FSC-H	FSC				
127655	2	SSC-H	SSC				
127655	3	FL1-H	FITC CD4				
127655	4	FL2-H	PE CXCR3				
127655	5	FL3-H	PP CD8				
127655	6	FL4-H	APC CCR5				
121358	1	FSC-H	FSC				
121358	2	SSC-H	SSC				
121358	3	FL1-H	FITC CD56				
121358	4	FL2-H	PE CXCR3				
121358	5	FL3-H	PP CD3				
121358	6	FL4-H	APC CCR5				
90581	1	FSC-H	FSC				
90581	2	SSC-H	SSC				
90581	3	FL1-H	AUTO1				
90581	4	FL2-H	AUTO2				
90581	5	FL3-H	AUTO3				
90581	6	FL4-H	AUTO4				
107831	1	FSC-H	FSC				
107831	2	SSC-H	SSC				
107831	3	FL1-H	FITC CD14				
107831	4	FL2-H	PE CD23				
107831	5	FL3-H	PP CD3				
107831	6	FL4-H	APC CD19				
115808	1	FSC-H	FSC				
115808	2	SSC-H	SSC				
115808	3	FL1-H	FITC CD4				
115808	4	FL2-H	PE CCR3				
115808	5	FL3-H	PP CD8				
115808	6	FL4-H	APC CCR4				
140301	1	FSC-H	FSC				
140301	2	SSC-H	SSC				
140301	3	FL1-H	FITC CD4				
140301	4	FL2-H	PE CD25				
140301	5	FL3-H	PP CD3				
140301	6	FL4-H	APC CD161				
122148	1	FSC-H	FSC				
122148	2	SSC-H	SSC				
122148	3	FL1-H	FITC CD4				
122148	4	FL2-H	PE CD25				
122148	5	FL3-H	PP CD3				
122148	6	FL4-H	APC CD45RA				
89942	1	FSC-H	FSC				
89942	2	SSC-H	SSC				
89942	3	FL1-H	FITC CD4				
89942	4	FL2-H	PE CD25				
89942	5	FL3-H	PP CD3				
89942	6	FL4-H	APC CD45RO				
81789	1	FSC-H	FSC				
81789	2	SSC-H	SSC				
81789	3	FL1-H	FITC CD4				
81789	4	FL2-H	PE CXCR3				
81789	5	FL3-H	PP CD8				
81789	6	FL4-H	APC CCR5				
88129	1	FSC-H	Forward Scatter				
88129	2	SSC-H	Side Scatter				
88129	3	FL1-H	Anti-HLA-DR FITC				
88129	4	FL2-H	PE CD123				
88129	5	FL3-H	PP CD3 14 19 56				
88129	6	FL4-H	APC CD11C				
106169	1	FSC-H	FSC				
106169	2	SSC-H	SSC				
106169	3	FL1-H	FITC CD56				
106169	4	FL2-H	PE CXCR3				
106169	5	FL3-H	PP CD3				
106169	6	FL4-H	APC CCR5				
145773	1	FSC-H	FSC				
145773	2	SSC-H	SSC				
145773	3	FL1-H	AUTO1				
145773	4	FL2-H	AUTO2				
145773	5	FL3-H	AUTO3				
145773	6	FL4-H	AUTO4				
118800	1	FSC-H	Forward Scatter				
118800	2	SSC-H	Side Scatter				
118800	3	FL1-H	Anti-HLA-DR FITC				
118800	4	FL2-H	PE CD123				
118800	5	FL3-H	PP CD3 14 19 56				
118800	6	FL4-H	APC CD11C				
129252	1	FSC-H	FSC				
129252	2	SSC-H	SSC				
129252	3	FL1-H	FITC CD14				
129252	4	FL2-H	PE CD23				
129252	5	FL3-H	PP CD3				
129252	6	FL4-H	APC CD19				
126794	1	FSC-H	FSC				
126794	2	SSC-H	SSC				
126794	3	FL1-H	FITC CD4				
126794	4	FL2-H	PE CCR3				
126794	5	FL3-H	PP CD8				
126794	6	FL4-H	APC CCR4				
150471	1	FSC-H	FSC				
150471	2	SSC-H	SSC				
150471	3	FL1-H	FITC CD4				
150471	4	FL2-H	PE CD25				
150471	5	FL3-H	PP CD3				
150471	6	FL4-H	APC CD161				
89931	1	FSC-H	FSC				
89931	2	SSC-H	SSC				
89931	3	FL1-H	FITC CD4				
89931	4	FL2-H	PE CD25				
89931	5	FL3-H	PP CD3				
89931	6	FL4-H	APC CD45RA				
92452	1	FSC-H	FSC				
92452	2	SSC-H	SSC				
92452	3	FL1-H	FITC CD4				
92452	4	FL2-H	PE CD25				
92452	5	FL3-H	PP CD3				
92452	6	FL4-H	APC CD45RO				
137315	1	FSC-H	FSC				
137315	2	SSC-H	SSC				
137315	3	FL1-H	FITC CD4				
137315	4	FL2-H	PE CXCR3				
137315	5	FL3-H	PP CD8				
137315	6	FL4-H	APC CCR5				
104467	1	FSC-H	FSC				
104467	2	SSC-H	SSC				
104467	3	FL1-H	FITC CD56				
104467	4	FL2-H	PE CXCR3				
104467	5	FL3-H	PP CD3				
104467	6	FL4-H	APC CCR5				
115278	1	FSC-H	FSC				
115278	2	SSC-H	SSC				
115278	3	FL1-H	AUTO1				
115278	4	FL2-H	AUTO2				
115278	5	FL3-H	AUTO3				
115278	6	FL4-H	AUTO4				
82395	1	FSC-H	Forward Scatter				
82395	2	SSC-H	Side Scatter				
82395	3	FL1-H	Anti-HLA-DR FITC				
82395	4	FL2-H	PE CD123				
82395	5	FL3-H	PP CD3 14 19 56				
82395	6	FL4-H	APC CD11C				
128119	1	FSC-H	FSC				
128119	2	SSC-H	SSC				
128119	3	FL1-H	FITC CD14				
128119	4	FL2-H	PE CD23				
128119	5	FL3-H	PP CD3				
128119	6	FL4-H	APC CD19				
149430	1	FSC-H	FSC				
149430	2	SSC-H	SSC				
149430	3	FL1-H	FITC CD4				
149430	4	FL2-H	PE CCR3				
149430	5	FL3-H	PP CD8				
149430	6	FL4-H	APC CCR4				
84683	1	FSC-H	FSC				
84683	2	SSC-H	SSC				
84683	3	FL1-H	FITC CD4				
84683	4	FL2-H	PE CD25				
84683	5	FL3-H	PP CD3				
84683	6	FL4-H	APC CD161				
130229	1	FSC-H	FSC				
130229	2	SSC-H	SSC				
130229	3	FL1-H	FITC CD4				
130229	4	FL2-H	PE CD25				
130229	5	FL3-H	PP CD3				
130229	6	FL4-H	APC CD45RA				
148662	1	FSC-H	FSC				
148662	2	SSC-H	SSC				
148662	3	FL1-H	FITC CD4				
148662	4	FL2-H	PE CD25				
148662	5	FL3-H	PP CD3				
148662	6	FL4-H	APC CD45RO				
107400	1	FSC-H	FSC				
107400	2	SSC-H	SSC				
107400	3	FL1-H	FITC CD4				
107400	4	FL2-H	PE CXCR3				
107400	5	FL3-H	PP CD8				
107400	6	FL4-H	APC CCR5				
85480	1	FSC-H	FSC				
85480	2	SSC-H	SSC				
85480	3	FL1-H	FITC CD56				
85480	4	FL2-H	PE CXCR3				
85480	5	FL3-H	PP CD3				
85480	6	FL4-H	APC CCR5				
108446	1	FSC-H	FSC				
108446	2	SSC-H	SSC				
108446	3	FL1-H	AUTO1				
108446	4	FL2-H	AUTO2				
108446	5	FL3-H	AUTO3				
108446	6	FL4-H	AUTO4				
131488	1	FSC-H	Forward Scatter				
131488	2	SSC-H	Side Scatter				
131488	3	FL1-H	Anti-HLA-DR FITC				
131488	4	FL2-H	PE CD123				
131488	5	FL3-H	PP CD3 14 19 56				
131488	6	FL4-H	APC CD11C				
139582	1	FSC-H	FSC				
139582	2	SSC-H	SSC				
139582	3	FL1-H	FITC CD14				
139582	4	FL2-H	PE CD23				
139582	5	FL3-H	PP CD3				
139582	6	FL4-H	APC CD19				
109326	1	FSC-H	FSC				
109326	2	SSC-H	SSC				
109326	3	FL1-H	FITC CD4				
109326	4	FL2-H	PE CCR3				
109326	5	FL3-H	PP CD8				
109326	6	FL4-H	APC CCR4				
108940	1	FSC-H	FSC				
108940	2	SSC-H	SSC				
108940	3	FL1-H	FITC CD4				
108940	4	FL2-H	PE CD25				
108940	5	FL3-H	PP CD3				
108940	6	FL4-H	APC CD161				
102406	1	FSC-H	FSC				
102406	2	SSC-H	SSC				
102406	3	FL1-H	FITC CD4				
102406	4	FL2-H	PE CD25				
102406	5	FL3-H	PP CD3				
102406	6	FL4-H	APC CD45RA				
134036	1	FSC-H	FSC				
134036	2	SSC-H	SSC				
134036	3	FL1-H	FITC CD4				
134036	4	FL2-H	PE CD25				
134036	5	FL3-H	PP CD3				
134036	6	FL4-H	APC CD45RO				
101724	1	FSC-H	FSC				
101724	2	SSC-H	SSC				
101724	3	FL1-H	FITC CD4				
101724	4	FL2-H	PE CXCR3				
101724	5	FL3-H	PP CD8				
101724	6	FL4-H	APC CCR5				
120440	1	FSC-H	FSC				
120440	2	SSC-H	SSC				
120440	3	FL1-H	FITC CD56				
120440	4	FL2-H	PE CXCR3				
120440	5	FL3-H	PP CD3				
120440	6	FL4-H	APC CCR5				
148067	1	FSC-H	FSC				
148067	2	SSC-H	SSC				
148067	3	FL1-H	AUTO1				
148067	4	FL2-H	AUTO2				
148067	5	FL3-H	AUTO3				
148067	6	FL4-H	AUTO4				
137026	1	FSC-H	Forward Scatter				
137026	2	SSC-H	Side Scatter				
137026	3	FL1-H	Anti-HLA-DR FITC				
137026	4	FL2-H	PE CD123				
137026	5	FL3-H	PP CD3 14 19 56				
137026	6	FL4-H	APC CD11C				
126072	1	FSC-H	FSC				
126072	2	SSC-H	SSC				
126072	3	FL1-H	FITC CD14				
126072	4	FL2-H	PE CD23				
126072	5	FL3-H	PP CD3				
126072	6	FL4-H	APC CD19				
99003	1	FSC-H	FSC				
99003	2	SSC-H	SSC				
99003	3	FL1-H	FITC CD4				
99003	4	FL2-H	PE CCR3				
99003	5	FL3-H	PP CD8				
99003	6	FL4-H	APC CCR4				
106437	1	FSC-H	FSC				
106437	2	SSC-H	SSC				
106437	3	FL1-H	FITC CD4				
106437	4	FL2-H	PE CD25				
106437	5	FL3-H	PP CD3				
106437	6	FL4-H	APC CD161				
135912	1	FSC-H	FSC				
135912	2	SSC-H	SSC				
135912	3	FL1-H	FITC CD4				
135912	4	FL2-H	PE CD25				
135912	5	FL3-H	PP CD3				
135912	6	FL4-H	APC CD45RA				
103055	1	FSC-H	FSC				
103055	2	SSC-H	SSC				
103055	3	FL1-H	FITC CD4				
103055	4	FL2-H	PE CD25				
103055	5	FL3-H	PP CD3				
103055	6	FL4-H	APC CD45RO				
90498	1	FSC-H	FSC				
90498	2	SSC-H	SSC				
90498	3	FL1-H	FITC CD4				
90498	4	FL2-H	PE CXCR3				
90498	5	FL3-H	PP CD8				
90498	6	FL4-H	APC CCR5				
145733	1	FSC-H	FSC				
145733	2	SSC-H	SSC				
145733	3	FL1-H	FITC CD56				
145733	4	FL2-H	PE CXCR3				
145733	5	FL3-H	PP CD3				
145733	6	FL4-H	APC CCR5				
80395	1	FSC-H	FSC				
80395	2	SSC-H	SSC				
80395	3	FL1-H	AUTO1				
80395	4	FL2-H	AUTO2				
80395	5	FL3-H	AUTO3				
80395	6	FL4-H	AUTO4				
92987	1	FSC-H	Forward Scatter				
92987	2	SSC-H	Side Scatter				
92987	3	FL1-H	Anti-HLA-DR FITC				
92987	4	FL2-H	PE CD123				
92987	5	FL3-H	PP CD3 14 19 56				
92987	6	FL4-H	APC CD11C				
123851	1	FSC-H	FSC				
123851	2	SSC-H	SSC				
123851	3	FL1-H	FITC CD14				
123851	4	FL2-H	PE CD23				
123851	5	FL3-H	PP CD3				
123851	6	FL4-H	APC CD19				
105099	1	FSC-H	FSC				
105099	2	SSC-H	SSC				
105099	3	FL1-H	FITC CD4				
105099	4	FL2-H	PE CCR3				
105099	5	FL3-H	PP CD8				
105099	6	FL4-H	APC CCR4				
92283	1	FSC-H	FSC				
92283	2	SSC-H	SSC				
92283	3	FL1-H	FITC CD4				
92283	4	FL2-H	PE CD25				
92283	5	FL3-H	PP CD3				
92283	6	FL4-H	APC CD161				
92052	1	FSC-H	FSC				
92052	2	SSC-H	SSC				
92052	3	FL1-H	FITC CD4				
92052	4	FL2-H	PE CD25				
92052	5	FL3-H	PP CD3				
92052	6	FL4-H	APC CD45RA				
120389	1	FSC-H	FSC				
120389	2	SSC-H	SSC				
120389	3	FL1-H	FITC CD4				
120389	4	FL2-H	PE CD25				
120389	5	FL3-H	PP CD3				
120389	6	FL4-H	APC CD45RO				
99104	1	FSC-H	FSC				
99104	2	SSC-H	SSC				
99104	3	FL1-H	FITC CD4				
99104	4	FL2-H	PE CXCR3				
99104	5	FL3-H	PP CD8				
99104	6	FL4-H	APC CCR5				
114712	1	FSC-H	FSC				
114712	2	SSC-H	SSC				
114712	3	FL1-H	FITC CD56				
114712	4	FL2-H	PE CXCR3				
114712	5	FL3-H	PP CD3				
114712	6	FL4-H	APC CCR5				
143964	1	FSC-H	FSC				
143964	2	SSC-H	SSC				
143964	3	FL1-H	AUTO1				
143964	4	FL2-H	AUTO2				
143964	5	FL3-H	AUTO3				
143964	6	FL4-H	AUTO4				
118921	1	FSC-H	Forward Scatter				
118921	2	SSC-H	Side Scatter				
118921	3	FL1-H	Anti-HLA-DR FITC				
118921	4	FL2-H	PE CD123				
118921	5	FL3-H	PP CD3 14 19 56				
118921	6	FL4-H	APC CD11C				
141264	1	FSC-H	FSC				
141264	2	SSC-H	SSC				
141264	3	FL1-H	FITC CD14				
141264	4	FL2-H	PE CD23				
141264	5	FL3-H	PP CD3				
141264	6	FL4-H	APC CD19				
124427	1	FSC-H	FSC				
124427	2	SSC-H	SSC				
124427	3	FL1-H	FITC CD4				
124427	4	FL2-H	PE CCR3				
124427	5	FL3-H	PP CD8				
124427	6	FL4-H	APC CCR4				
132994	1	FSC-H	FSC				
132994	2	SSC-H	SSC				
132994	3	FL1-H	FITC CD4				
132994	4	FL2-H	PE CD25				
132994	5	FL3-H	PP CD3				
132994	6	FL4-H	APC CD161				
83475	1	FSC-H	FSC				
83475	2	SSC-H	SSC				
83475	3	FL1-H	FITC CD4				
83475	4	FL2-H	PE CD25				
83475	5	FL3-H	PP CD3				
83475	6	FL4-H	APC CD45RA				
137122	1	FSC-H	FSC				
137122	2	SSC-H	SSC				
137122	3	FL1-H	FITC CD4				
137122	4	FL2-H	PE CD25				
137122	5	FL3-H	PP CD3				
137122	6	FL4-H	APC CD45RO				
114673	1	FSC-H	FSC				
114673	2	SSC-H	SSC				
114673	3	FL1-H	FITC CD4				
114673	4	FL2-H	PE CXCR3				
114673	5	FL3-H	PP CD8				
114673	6	FL4-H	APC CCR5				
78818	1	FSC-H	FSC				
78818	2	SSC-H	SSC				
78818	3	FL1-H	FITC CD56				
78818	4	FL2-H	PE CXCR3				
78818	5	FL3-H	PP CD3				
78818	6	FL4-H	APC CCR5				
134410	1	FSC-H	FSC				
134410	2	SSC-H	SSC				
134410	3	FL1-H	AUTO1				
134410	4	FL2-H	AUTO2				
134410	5	FL3-H	AUTO3				
134410	6	FL4-H	AUTO4				
120543	1	FSC-H	Forward Scatter				
120543	2	SSC-H	Side Scatter				
120543	3	FL1-H	Anti-HLA-DR FITC				
120543	4	FL2-H	PE CD123				
120543	5	FL3-H	PP CD3 14 19 56				
120543	6	FL4-H	APC CD11C				
119106	1	FSC-H	FSC				
119106	2	SSC-H	SSC				
119106	3	FL1-H	FITC CD14				
119106	4	FL2-H	PE CD23				
119106	5	FL3-H	PP CD3				
119106	6	FL4-H	APC CD19				
84248	1	FSC-H	FSC				
84248	2	SSC-H	SSC				
84248	3	FL1-H	FITC CD4				
84248	4	FL2-H	PE CCR3				
84248	5	FL3-H	PP CD8				
84248	6	FL4-H	APC CCR4				
77579	1	FSC-H	FSC				
77579	2	SSC-H	SSC				
77579	3	FL1-H	FITC CD4				
77579	4	FL2-H	PE CD25				
77579	5	FL3-H	PP CD3				
77579	6	FL4-H	APC CD161				
91180	1	FSC-H	FSC				
91180	2	SSC-H	SSC				
91180	3	FL1-H	FITC CD4				
91180	4	FL2-H	PE CD25				
91180	5	FL3-H	PP CD3				
91180	6	FL4-H	APC CD45RA				
113029	1	FSC-H	FSC				
113029	2	SSC-H	SSC				
113029	3	FL1-H	FITC CD4				
113029	4	FL2-H	PE CD25				
113029	5	FL3-H	PP CD3				
113029	6	FL4-H	APC CD45RO				
119461	1	FSC-H	FSC				
119461	2	SSC-H	SSC				
119461	3	FL1-H	FITC CD4				
119461	4	FL2-H	PE CXCR3				
119461	5	FL3-H	PP CD8				
119461	6	FL4-H	APC CCR5				
131351	1	FSC-H	FSC				
131351	2	SSC-H	SSC				
131351	3	FL1-H	FITC CD56				
131351	4	FL2-H	PE CXCR3				
131351	5	FL3-H	PP CD3				
131351	6	FL4-H	APC CCR5				
143769	1	FSC-H	FSC				
143769	2	SSC-H	SSC				
143769	3	FL1-H	AUTO1				
143769	4	FL2-H	AUTO2				
143769	5	FL3-H	AUTO3				
143769	6	FL4-H	AUTO4				
129373	1	FSC-H	Forward Scatter				
129373	2	SSC-H	Side Scatter				
129373	3	FL1-H	Anti-HLA-DR FITC				
129373	4	FL2-H	PE CD123				
129373	5	FL3-H	PP CD3 14 19 56				
129373	6	FL4-H	APC CD11C				
136698	1	FSC-H	FSC				
136698	2	SSC-H	SSC				
136698	3	FL1-H	FITC CD14				
136698	4	FL2-H	PE CD23				
136698	5	FL3-H	PP CD3				
136698	6	FL4-H	APC CD19				
93965	1	FSC-H	FSC				
93965	2	SSC-H	SSC				
93965	3	FL1-H	FITC CD4				
93965	4	FL2-H	PE CCR3				
93965	5	FL3-H	PP CD8				
93965	6	FL4-H	APC CCR4				
121797	1	FSC-H	FSC				
121797	2	SSC-H	SSC				
121797	3	FL1-H	FITC CD4				
121797	4	FL2-H	PE CD25				
121797	5	FL3-H	PP CD3				
121797	6	FL4-H	APC CD161				
143352	1	FSC-H	FSC				
143352	2	SSC-H	SSC				
143352	3	FL1-H	FITC CD4				
143352	4	FL2-H	PE CD25				
143352	5	FL3-H	PP CD3				
143352	6	FL4-H	APC CD45RA				
99653	1	FSC-H	FSC				
99653	2	SSC-H	SSC				
99653	3	FL1-H	FITC CD4				
99653	4	FL2-H	PE CD25				
99653	5	FL3-H	PP CD3				
99653	6	FL4-H	APC CD45RO				
141587	1	FSC-H	FSC				
141587	2	SSC-H	SSC				
141587	3	FL1-H	FITC CD4				
141587	4	FL2-H	PE CXCR3				
141587	5	FL3-H	PP CD8				
141587	6	FL4-H	APC CCR5				
113115	1	FSC-H	FSC				
113115	2	SSC-H	SSC				
113115	3	FL1-H	FITC CD56				
113115	4	FL2-H	PE CXCR3				
113115	5	FL3-H	PP CD3				
113115	6	FL4-H	APC CCR5				
123654	1	FSC-H	FSC				
123654	2	SSC-H	SSC				
123654	3	FL1-H	AUTO1				
123654	4	FL2-H	AUTO2				
123654	5	FL3-H	AUTO3				
123654	6	FL4-H	AUTO4				
90922	1	FSC-H	Forward Scatter				
90922	2	SSC-H	Side Scatter				
90922	3	FL1-H	Anti-HLA-DR FITC				
90922	4	FL2-H	PE CD123				
90922	5	FL3-H	PP CD3 14 19 56				
90922	6	FL4-H	APC CD11C				
79687	1	FSC-H	FSC				
79687	2	SSC-H	SSC				
79687	3	FL1-H	FITC CD14				
79687	4	FL2-H	PE CD23				
79687	5	FL3-H	PP CD3				
79687	6	FL4-H	APC CD19				
80670	1	FSC-H	FSC				
80670	2	SSC-H	SSC				
80670	3	FL1-H	FITC CD4				
80670	4	FL2-H	PE CCR3				
80670	5	FL3-H	PP CD8				
80670	6	FL4-H	APC CCR4				
140005	1	FSC-H	FSC				
140005	2	SSC-H	SSC				
140005	3	FL1-H	FITC CD4				
140005	4	FL2-H	PE CD25				
140005	5	FL3-H	PP CD3				
140005	6	FL4-H	APC CD161				
132665	1	FSC-H	FSC				
132665	2	SSC-H	SSC				
132665	3	FL1-H	FITC CD4				
132665	4	FL2-H	PE CD25				
132665	5	FL3-H	PP CD3				
132665	6	FL4-H	APC CD45RA				
115905	1	FSC-H	FSC				
115905	2	SSC-H	SSC				
115905	3	FL1-H	FITC CD4				
115905	4	FL2-H	PE CD25				
115905	5	FL3-H	PP CD3				
115905	6	FL4-H	APC CD45RO				
145267	1	FSC-H	FSC				
145267	2	SSC-H	SSC				
145267	3	FL1-H	FITC CD4				
145267	4	FL2-H	PE CXCR3				
145267	5	FL3-H	PP CD8				
145267	6	FL4-H	APC CCR5				
148381	1	FSC-H	FSC				
148381	2	SSC-H	SSC				
148381	3	FL1-H	FITC CD56				
148381	4	FL2-H	PE CXCR3				
148381	5	FL3-H	PP CD3				
148381	6	FL4-H	APC CCR5				
88791	1	FSC-H	FSC				
88791	2	SSC-H	SSC				
88791	3	FL1-H	AUTO1				
88791	4	FL2-H	AUTO2				
88791	5	FL3-H	AUTO3				
88791	6	FL4-H	AUTO4				
131403	1	FSC-H	Forward Scatter				
131403	2	SSC-H	Side Scatter				
131403	3	FL1-H	Anti-HLA-DR FITC				
131403	4	FL2-H	PE CD123				
131403	5	FL3-H	PP CD3 14 19 56				
131403	6	FL4-H	APC CD11C				
146284	1	FSC-H	FSC				
146284	2	SSC-H	SSC				
146284	3	FL1-H	FITC CD14				
146284	4	FL2-H	PE CD23				
146284	5	FL3-H	PP CD3				
146284	6	FL4-H	APC CD19				
104578	1	FSC-H	FSC				
104578	2	SSC-H	SSC				
104578	3	FL1-H	FITC CD4				
104578	4	FL2-H	PE CCR3				
104578	5	FL3-H	PP CD8				
104578	6	FL4-H	APC CCR4				
93160	1	FSC-H	FSC				
93160	2	SSC-H	SSC				
93160	3	FL1-H	FITC CD4				
93160	4	FL2-H	PE CD25				
93160	5	FL3-H	PP CD3				
93160	6	FL4-H	APC CD161				
149753	1	FSC-H	FSC				
149753	2	SSC-H	SSC				
149753	3	FL1-H	FITC CD4				
149753	4	FL2-H	PE CD25				
149753	5	FL3-H	PP CD3				
149753	6	FL4-H	APC CD45RA				
92766	1	FSC-H	FSC				
92766	2	SSC-H	SSC				
92766	3	FL1-H	FITC CD4				
92766	4	FL2-H	PE CD25				
92766	5	FL3-H	PP CD3				
92766	6	FL4-H	APC CD45RO				
136370	1	FSC-H	FSC				
136370	2	SSC-H	SSC				
136370	3	FL1-H	FITC CD4				
136370	4	FL2-H	PE CXCR3				
136370	5	FL3-H	PP CD8				
136370	6	FL4-H	APC CCR5				
123471	1	FSC-H	FSC				
123471	2	SSC-H	SSC				
123471	3	FL1-H	FITC CD56				
123471	4	FL2-H	PE CXCR3				
123471	5	FL3-H	PP CD3				
123471	6	FL4-H	APC CCR5				
148995	1	FSC-H	FSC				
148995	2	SSC-H	SSC				
148995	3	FL1-H	AUTO1				
148995	4	FL2-H	AUTO2				
148995	5	FL3-H	AUTO3				
148995	6	FL4-H	AUTO4				
77980	1	FSC-H	Forward Scatter				
77980	2	SSC-H	Side Scatter				
77980	3	FL1-H	Anti-HLA-DR FITC				
77980	4	FL2-H	PE CD123				
77980	5	FL3-H	PP CD3 14 19 56				
77980	6	FL4-H	APC CD11C				
134054	1	FSC-H	FSC				
134054	2	SSC-H	SSC				
134054	3	FL1-H	FITC CD14				
134054	4	FL2-H	PE CD23				
134054	5	FL3-H	PP CD3				
134054	6	FL4-H	APC CD19				
119054	1	FSC-H	FSC				
119054	2	SSC-H	SSC				
119054	3	FL1-H	FITC CD4				
119054	4	FL2-H	PE CCR3				
119054	5	FL3-H	PP CD8				
119054	6	FL4-H	APC CCR4				
147692	1	FSC-H	FSC				
147692	2	SSC-H	SSC				
147692	3	FL1-H	FITC CD4				
147692	4	FL2-H	PE CD25				
147692	5	FL3-H	PP CD3				
147692	6	FL4-H	APC CD161				
105345	1	FSC-H	FSC				
105345	2	SSC-H	SSC				
105345	3	FL1-H	FITC CD4				
105345	4	FL2-H	PE CD25				
105345	5	FL3-H	PP CD3				
105345	6	FL4-H	APC CD45RA				
102424	1	FSC-H	FSC				
102424	2	SSC-H	SSC				
102424	3	FL1-H	FITC CD4				
102424	4	FL2-H	PE CD25				
102424	5	FL3-H	PP CD3				
102424	6	FL4-H	APC CD45RO				
84456	1	FSC-H	FSC				
84456	2	SSC-H	SSC				
84456	3	FL1-H	FITC CD4				
84456	4	FL2-H	PE CXCR3				
84456	5	FL3-H	PP CD8				
84456	6	FL4-H	APC CCR5				
117253	1	FSC-H	FSC				
117253	2	SSC-H	SSC				
117253	3	FL1-H	FITC CD56				
117253	4	FL2-H	PE CXCR3				
117253	5	FL3-H	PP CD3				
117253	6	FL4-H	APC CCR5				
82636	1	FSC-H	FSC				
82636	2	SSC-H	SSC				
82636	3	FL1-H	AUTO1				
82636	4	FL2-H	AUTO2				
82636	5	FL3-H	AUTO3				
82636	6	FL4-H	AUTO4				
102658	1	FSC-H	Forward Scatter				
102658	2	SSC-H	Side Scatter				
102658	3	FL1-H	Anti-HLA-DR FITC				
102658	4	FL2-H	PE CD123				
102658	5	FL3-H	PP CD3 14 19 56				
102658	6	FL4-H	APC CD11C				
130644	1	FSC-H	FSC				
130644	2	SSC-H	SSC				
130644	3	FL1-H	FITC CD14				
130644	4	FL2-H	PE CD23				
130644	5	FL3-H	PP CD3				
130644	6	FL4-H	APC CD19				
77924	1	FSC-H	FSC				
77924	2	SSC-H	SSC				
77924	3	FL1-H	FITC CD4				
77924	4	FL2-H	PE CCR3				
77924	5	FL3-H	PP CD8				
77924	6	FL4-H	APC CCR4				
99180	1	FSC-H	FSC				
99180	2	SSC-H	SSC				
99180	3	FL1-H	FITC CD4				
99180	4	FL2-H	PE CD25				
99180	5	FL3-H	PP CD3				
99180	6	FL4-H	APC CD161				
130643	1	FSC-H	FSC				
130643	2	SSC-H	SSC				
130643	3	FL1-H	FITC CD4				
130643	4	FL2-H	PE CD25				
130643	5	FL3-H	PP CD3				
130643	6	FL4-H	APC CD45RA				
129862	1	FSC-H	FSC				
129862	2	SSC-H	SSC				
129862	3	FL1-H	FITC CD4				
129862	4	FL2-H	PE CD25				
129862	5	FL3-H	PP CD3				
129862	6	FL4-H	APC CD45RO				
148189	1	FSC-H	FSC				
148189	2	SSC-H	SSC				
148189	3	FL1-H	FITC CD4				
148189	4	FL2-H	PE CXCR3				
148189	5	FL3-H	PP CD8				
148189	6	FL4-H	APC CCR5				
123908	1	FSC-H	FSC				
123908	2	SSC-H	SSC				
123908	3	FL1-H	FITC CD56				
123908	4	FL2-H	PE CXCR3				
123908	5	FL3-H	PP CD3				
123908	6	FL4-H	APC CCR5				
84696	1	FSC-H	FSC				
84696	2	SSC-H	SSC				
84696	3	FL1-H	AUTO1				
84696	4	FL2-H	AUTO2				
84696	5	FL3-H	AUTO3				
84696	6	FL4-H	AUTO4				
130634	1	FSC-H	Forward Scatter				
130634	2	SSC-H	Side Scatter				
130634	3	FL1-H	Anti-HLA-DR FITC				
130634	4	FL2-H	PE CD123				
130634	5	FL3-H	PP CD3 14 19 56				
130634	6	FL4-H	APC CD11C				
103114	1	FSC-H	FSC				
103114	2	SSC-H	SSC				
103114	3	FL1-H	FITC CD14				
103114	4	FL2-H	PE CD23				
103114	5	FL3-H	PP CD3				
103114	6	FL4-H	APC CD19				
126016	1	FSC-H	FSC				
126016	2	SSC-H	SSC				
126016	3	FL1-H	FITC CD4				
126016	4	FL2-H	PE CCR3				
126016	5	FL3-H	PP CD8				
126016	6	FL4-H	APC CCR4				
128333	1	FSC-H	FSC				
128333	2	SSC-H	SSC				
128333	3	FL1-H	FITC CD4				
128333	4	FL2-H	PE CD25				
128333	5	FL3-H	PP CD3				
128333	6	FL4-H	APC CD161				
125497	1	FSC-H	FSC				
125497	2	SSC-H	SSC				
125497	3	FL1-H	FITC CD4				
125497	4	FL2-H	PE CD25				
125497	5	FL3-H	PP CD3				
125497	6	FL4-H	APC CD45RA				
150410	1	FSC-H	FSC				
150410	2	SSC-H	SSC				
150410	3	FL1-H	FITC CD4				
150410	4	FL2-H	PE CD25				
150410	5	FL3-H	PP CD3				
