EXPSAMPLE_ACCESSION	EXPERIMENT_ACCESSION	FILE_INFO_ID	DATA_FORMAT	RESULT_SCHEMA
ES147938	EXP3727	46135	Flow_Cytometry	FCM
ES147940	EXP3727	46138	Flow_Cytometry	FCM
ES147945	EXP3727	46149	Flow_Cytometry	FCM
ES147946	EXP3727	46151	Flow_Cytometry	FCM
ES147947	EXP3727	46153	Flow_Cytometry	FCM
ES147951	EXP3727	46161	Flow_Cytometry	FCM
ES147953	EXP3727	46165	Flow_Cytometry	FCM
ES147957	EXP3727	46172	Flow_Cytometry	FCM
ES147962	EXP3727	46182	Flow_Cytometry	FCM
ES147966	EXP3727	46191	Flow_Cytometry	FCM
ES147968	EXP3727	46195	Flow_Cytometry	FCM
ES147972	EXP3727	46203	Flow_Cytometry	FCM
ES147975	EXP3727	46209	Flow_Cytometry	FCM
ES147976	EXP3727	46211	Flow_Cytometry	FCM
ES147981	EXP3727	46220	Flow_Cytometry	FCM
ES147984	EXP3727	46227	Flow_Cytometry	FCM
ES147993	EXP3727	46245	Flow_Cytometry	FCM
ES147994	EXP3727	46247	Flow_Cytometry	FCM
ES148004	EXP3727	46267	Flow_Cytometry	FCM
ES148006	EXP3727	46270	Flow_Cytometry	FCM
ES148010	EXP3727	46278	Flow_Cytometry	FCM
ES148017	EXP3727	46293	Flow_Cytometry	FCM
ES148019	EXP3727	46296	Flow_Cytometry	FCM
ES148019	EXP3727	46297	Flow_Cytometry	FCM
ES148020	EXP3727	46299	Flow_Cytometry	FCM
ES148021	EXP3727	46301	Flow_Cytometry	FCM
ES148033	EXP3727	46325	Flow_Cytometry	FCM
ES148042	EXP3727	46342	Flow_Cytometry	FCM
ES148042	EXP3727	46343	Flow_Cytometry	FCM
ES148043	EXP3727	46344	Flow_Cytometry	FCM
ES148046	EXP3727	46351	Flow_Cytometry	FCM
ES148049	EXP3727	46356	Flow_Cytometry	FCM
ES148050	EXP3727	46358	Flow_Cytometry	FCM
ES148051	EXP3727	46360	Flow_Cytometry	FCM
